Latitude,Longitude,ВСЬОГО,ТЯЖКІ ТА О.ТЯЖКІ,ВБИВСТВО,УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ,ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.,ЗГВАЛТУВАННЯ,КРАДІЖКА,ГРАБІЖ,РОЗБІЙ,ВИМАГАННЯ,ШАХРАЙСТВО,ЗАВОЛОД Т/З,ХУЛІГАНСТВО
50.4501,30.5234,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4478645,30.6107652,2,2,0,0,0,0,2,0,0,0,0,0,0
50.411948,30.418433,3,0,0,0,0,0,2,0,0,0,0,0,0
50.411399,30.4179217,1,0,0,0,0,0,0,0,0,0,1,0,0
50.411316,30.4180951,1,0,0,0,0,0,0,0,0,0,1,0,0
50.228341,30.653742,1,0,0,0,0,0,1,0,0,0,0,0,0
50.5006395,30.4420853,1,1,0,0,0,0,1,0,0,0,0,0,0
50.4501,30.5234,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4662321,30.6435969,1,0,0,0,0,0,0,0,0,0,1,0,0
50.462852,30.629994,1,0,0,0,0,0,0,0,0,0,1,0,0
50.462952,30.631079,5,0,0,0,0,0,1,2,0,0,1,0,0
50.463755,30.632056,5,0,0,0,0,0,1,1,0,0,1,0,0
50.463125,30.63251,4,1,0,0,0,0,3,0,0,0,0,0,0
50.4633587,30.6333671,42,3,0,0,0,0,19,3,0,0,9,0,0
50.46404,30.633106,2,0,0,0,0,0,0,0,0,0,0,0,0
50.4501,30.5234,3,2,0,0,0,0,1,2,0,0,0,0,0
50.4501,30.5234,2,1,0,0,0,0,0,0,1,0,0,0,0
50.4501,30.5234,3,0,0,0,0,0,3,0,0,0,0,0,0
49.5657698,25.6358151,1,0,0,0,0,0,0,0,0,0,1,0,0
50.409456,30.421901,1,0,0,0,0,0,0,0,0,0,1,0,0
50.409759,30.420606,1,0,0,0,0,0,0,0,0,0,0,0,0
50.433779,30.535828,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4050904,30.520323,1,1,0,0,0,0,0,0,0,0,0,0,0
50.228341,30.653742,3,0,0,0,0,0,0,0,0,0,1,0,0
50.420188,30.396737,1,1,0,0,0,0,0,1,0,0,0,0,0
50.443866,30.364564,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4173988,30.4647832,1,0,0,0,0,0,0,0,0,0,0,0,0
50.417707,30.466211,4,2,0,0,0,0,2,0,0,0,1,0,0
50.4169855,30.4647161,9,5,0,0,0,0,9,0,0,0,0,0,0
50.416547,30.465031,5,1,0,0,0,0,2,0,0,0,2,0,0
50.415268,30.465158,7,1,0,0,0,0,3,0,0,0,1,1,0
50.415268,30.465158,1,1,0,0,0,0,1,0,0,0,0,0,0
50.4501,30.5234,1,0,0,0,0,0,1,0,0,0,0,0,0
50.453119,30.619759,1,0,0,0,0,0,0,0,0,0,0,1,0
50.42357,30.520083,3,1,0,0,0,0,3,0,0,0,0,0,0
50.3805335,30.3666259,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4501,30.5234,1,0,0,0,0,0,1,0,0,0,0,0,0
50.467214,30.470845,6,1,0,0,0,0,1,0,0,0,4,0,0
50.4669954,30.4709919,1,0,0,0,0,0,0,0,0,0,1,0,0
50.406632,30.489727,1,1,0,0,0,0,0,0,0,0,0,0,0
50.4287111,30.5337711,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4501,30.5234,10,2,0,0,0,0,3,0,0,0,0,0,0
50.4553752,30.5060935,2,0,0,0,0,0,2,0,0,0,0,0,0
50.4553752,30.5060935,4,0,0,0,0,0,1,1,0,0,0,0,1
50.449628,30.618851,1,1,0,0,0,0,0,1,0,0,0,0,0
50.4498337,30.6193225,2,1,0,0,0,0,1,0,0,0,1,0,0
50.449921,30.618043,1,1,0,0,0,0,1,0,0,0,0,0,0
50.4507376,30.6189204,3,0,0,0,0,0,1,0,0,0,1,0,0
50.452156,30.617988,1,1,0,0,0,0,0,1,0,0,0,0,0
50.45224,30.617021,1,0,0,0,0,0,1,0,0,0,0,0,0
50.5181261,30.625275,1,0,0,0,0,0,0,0,0,0,0,0,0
50.470256,30.412966,1,0,0,0,0,0,0,1,0,0,0,0,0
50.4501,30.5234,1,0,0,0,0,0,1,0,0,0,0,0,0
50.471908,30.4672118,1,0,0,0,0,0,0,0,0,0,0,0,0
50.42487,30.445668,1,0,0,0,0,0,1,0,0,0,0,0,0
50.425275,30.445553,1,0,0,0,0,0,1,0,0,0,0,0,0
50.425211,30.443962,4,0,0,0,0,0,1,0,0,0,0,0,0
50.3963328,30.6302268,1,0,0,0,0,0,1,0,0,0,0,0,0
50.396557,30.630436,1,0,0,0,0,0,1,0,0,0,0,0,0
50.39629,30.632932,21,1,0,0,0,0,15,1,0,0,4,0,0
50.396359,30.629176,4,1,0,0,0,0,1,0,0,0,2,0,1
50.3966291,30.6293633,1,0,0,0,0,0,1,0,0,0,0,0,0
50.395808,30.630064,1,0,0,0,0,0,0,0,0,0,0,0,0
50.396403,30.631166,3,0,0,0,0,0,3,0,0,0,0,0,0
50.395394,30.631474,2,0,0,0,0,0,1,0,0,0,0,0,0
50.39629,30.632932,1,0,0,0,0,0,0,0,0,0,0,0,0
50.39629,30.632932,1,0,0,0,0,0,1,0,0,0,0,0,0
50.5183785,30.2569298,2,0,0,0,0,0,2,0,0,0,0,0,0
50.5185296,30.2570089,1,0,0,0,0,0,1,0,0,0,0,0,0
50.427834,30.425703,1,0,0,0,0,0,1,0,0,0,0,0,0
50.414127,30.388908,6,1,0,0,0,0,5,0,0,0,0,0,0
50.415674,30.386336,7,1,0,0,0,0,4,2,0,0,0,0,0
50.4118925,30.3853362,1,0,0,0,0,0,0,0,0,0,1,0,0
50.414886,30.384582,2,0,0,0,0,0,1,0,0,0,0,0,0
50.414656,30.384093,1,0,0,0,0,0,0,0,0,0,0,0,0
50.430111,30.648662,3,0,0,0,0,0,3,0,0,0,0,0,0
50.429451,30.649065,2,1,0,0,0,0,1,0,0,0,0,0,0
50.427938,30.649968,1,1,0,0,0,0,0,0,0,0,0,0,0
50.387876,30.435709,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4636488,30.6344049,3,0,0,0,0,0,1,1,0,0,1,0,0
50.463961,30.634182,2,0,0,0,0,0,1,0,0,0,0,0,0
50.464151,30.634857,1,0,0,0,0,0,1,0,0,0,0,0,0
50.464334,30.635535,2,0,0,0,0,0,1,0,0,0,1,0,0
50.465448,30.637836,3,0,0,0,0,0,2,1,0,0,0,0,0
50.467,30.643568,2,0,0,0,0,0,0,0,0,0,1,0,0
50.468002,30.64763,3,0,0,0,0,0,1,0,0,0,0,0,0
50.4633587,30.6333671,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4633587,30.6333671,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4501,30.5234,3,1,0,0,0,0,2,0,0,0,0,0,0
50.4501,30.5234,4,0,0,0,0,0,4,0,0,0,0,0,0
50.4501,30.5234,1,0,0,0,0,0,1,0,0,0,0,0,0
49.985027,36.213485,1,0,0,0,0,0,1,0,0,0,0,0,0
50.3932674,30.6974311,1,0,0,0,0,0,0,0,0,0,0,0,0
50.392979,30.698024,3,0,0,0,0,0,2,0,0,0,0,0,0
50.389598,30.692565,1,0,0,0,0,0,0,0,0,0,0,0,0
50.386818,30.709291,2,0,0,0,0,0,1,0,0,0,1,0,0
50.4265036,30.5256392,1,1,0,0,0,0,0,0,0,0,1,0,0
50.4265036,30.5256392,1,0,0,0,0,0,0,0,0,0,0,0,0
50.452106,30.628159,1,0,0,0,0,0,0,0,0,0,1,0,0
50.453061,30.627528,1,0,0,0,0,0,0,1,0,0,0,0,0
50.452553,30.628505,1,1,0,0,0,0,1,0,0,0,0,0,0
50.453513,30.627877,1,0,0,0,0,0,0,0,0,0,1,0,0
50.45451,30.626152,1,0,0,0,0,0,0,0,0,0,0,0,0
50.404461,30.423756,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4066952,30.421658,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4111916,30.4183551,1,0,0,0,0,0,0,0,0,0,0,0,0
50.3772751,30.537131,1,0,0,0,0,0,0,0,0,0,0,0,0
50.450786,30.380227,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4756166,30.5960824,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4764382,30.5957953,2,0,0,0,0,0,2,0,0,0,0,0,0
50.4442,30.361098,1,0,0,0,0,0,1,0,0,0,0,0,0
50.443866,30.364564,1,0,0,0,0,0,1,0,0,0,0,0,0
50.444016,30.360572,6,1,0,0,0,0,4,0,0,0,1,0,0
50.443362,30.359401,4,0,0,0,0,0,2,0,0,0,0,0,0
50.4442,30.361098,15,0,0,0,0,0,12,0,0,0,2,0,0
50.444085,30.361657,1,0,0,0,0,0,0,0,0,0,0,0,0
50.443727,30.360721,1,0,0,0,0,0,1,0,0,0,0,0,0
