Connect;ВСЬОГО;ТЯЖКІ ТА О.ТЯЖКІ;ВБИВСТВО;УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ;ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.;ЗГВАЛТУВАННЯ;КРАДІЖКА;ГРАБІЖ;РОЗБІЙ;ВИМАГАННЯ;ШАХРАЙСТВО;ЗАВОЛОД Т/З;ХУЛІГАНСТВО
Киев УЛ. БАХА 7;2;2;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. КИТО 2;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. МИРА 3;3;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. МИРА 4;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. МИРА 6;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. НОВА 1;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. УЖВЫ 8;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. КИКИ 39;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. КИОТО 0;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. КИОТО 1;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. КИОТО 2;299;11;0;0;0;0;192;21;0;0;53;0;1
Киев УЛ. КИОТО 3;5;0;0;0;0;0;1;2;0;0;1;0;0
Киев УЛ. КИОТО 5;5;0;0;0;0;0;1;1;0;0;1;0;0
Киев УЛ. КИОТО 6;4;1;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. КИОТО 8;42;3;0;0;0;0;19;3;0;0;9;0;0
Киев УЛ. КИОТО 9;2;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. КИРПЫ 1;3;2;0;0;0;0;1;2;0;0;0;0;0
Киев УЛ. КИРПЫ 2;2;1;0;0;0;0;0;0;1;0;0;0;0
Киев УЛ. КИРПЫ 4;3;0;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. ЛОЗВАЯ ;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. МИРА 19;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. МИРА 23;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. МИРУ 19;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. НАУКИ 4;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. НОВАЯ 1;3;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. НОВАЯ 2;1;1;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. ПОБЕДЫ ;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПУЛЮЯ 0;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПУЛЮЯ 1;4;2;0;0;0;0;2;0;0;0;1;0;0
Киев УЛ. ПУЛЮЯ 2;9;5;0;0;0;0;9;0;0;0;0;0;0
Киев УЛ. ПУЛЮЯ 3;5;1;0;0;0;0;2;0;0;0;2;0;0
Киев УЛ. ПУЛЮЯ 5;7;1;0;0;0;0;3;0;0;0;1;1;0
Киев УЛ. ПЮЛЮЯ 5;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЫНОК 0;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ТРУДА 2;1;0;0;0;0;0;0;0;0;0;0;1;0
Киев УЛ. ЩОРСА 5;3;1;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. ЮЖНАЯ 3;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ЯДОВА 1;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ЯКИРА 8;6;1;0;0;0;0;1;0;0;0;4;0;0
Киев УЛ. ЯКИРА 9;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ЯСНАЯ 3;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев ПЕР. ЩОРСА 1;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев СТ.МЕТРО * 0;10;2;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. АРТЕМА 0;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. АРТЕМА 1;4;0;0;0;0;0;1;1;0;0;0;0;1
Киев УЛ. БАЖОВА 1;1;1;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. БАЖОВА 2;2;1;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. БАЖОВА 3;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. БАЖОВА 4;3;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. БАЖОВА 6;1;1;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. БАЖОВА 9;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. БИКОВА 4;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. В.ПИКА 5;1;0;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. ВОИН-3 3;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГЕРЦЕНА ;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ГЛИНКИ 3;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГЛИНКИ 6;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГЛИНКИ 7;4;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГРИШКА 0;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГРИШКА 1;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГРИШКА 3;21;1;0;0;0;0;15;1;0;0;4;0;0
Киев УЛ. ГРИШКА 4;4;1;0;0;0;0;1;0;0;0;2;0;1
Киев УЛ. ГРИШКА 5;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГРИШКА 6;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ГРИШКА 7;3;0;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. ГРИШКА 8;2;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГРИШКО 3;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ГРЫШКА 3;1;0;0;0;0;0;1;0;0;0;0;0;0
